Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Sep 2022,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2022,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2022,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2022,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Apr 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Nov 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Dec 2023,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Feb 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Mar 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
